Abstract,Authors,Authors (Full Names),Beginning Page,Book Series Subtitle,Book Series Title,Cited Patent,Cited Reference Count,Cited References,Cited Year,City of Publisher,Conference Host,Conference Location,Conference Sponsors,Conference Title,Document Type,DOI,E-mail Addresses,Editors,Ending Page,File Type,Funding Agency and Grant Number,Funding Text,ISBN,ISI Document Delivery Number,ISSN,Issue,Journal Name (Abbreviated ISO),Journal Name (Abbreviated),Journal Title (Full),Language,New Article Number,New ISI Keywords,Number of Pages,Original Keywords,Part Number,Publication Date,Publication Type,Publication Year,Publisher,Publisher Address,Publisher Web Address,Reprint Address,Research Addresses,Research Field,Researcher ID,Special Issue,Subject Category,Supplement,Times Cited,Title,Total Times Cited,Unique ID,Version Number,Volume,File Name,Cite Me As
"Recent research on management innovation, i.e. new managerial processes, practices, or structures that change the nature of managerial work, suggests it can be an important source of competitive advantage. In this study, we focus on management innovation at the organization level and investigate the role of leadership behaviour as a key antecedent. Due to its prominent role within organizations, top management has the ability to greatly influence management innovation. In particular, we focus on leadership behaviour and examine transformational and transactional leadership. Additionally, as contextual variables like organizational size may influence the impact of leadership, we investigate its moderating role. Findings show that both leadership behaviours contribute to management innovation. Interestingly, our study indicates that smaller, less complex, organizations benefit more from transactional leadership in realizing management innovation. On the other hand, larger organizations need to draw on transformational leaders to compensate for their complexity and allow management innovation to flourish.","Vaccaro, IG|Jansen, JJP|Van Den Bosch, FAJ|Volberda, HW","Vaccaro, Ignacio G.|Jansen, Justin J. P.|Van Den Bosch, Frans A. J.|Volberda, Henk W.",28,,,,-1,,,,,,,,,10.1111/j.1467-6486.2010.00976.x,,,51,Thomson Reuters Web of Knowledge,,,,,0022-2380,1,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,JAN,J,2012,,,,,,,,,,,-1,Management Innovation and Leadership: The Moderating Role of Organizational Size,-1,WOS:000298583300002,1.0,49,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Vaccaro IG, 2012, V49, P28, DOI 10.1111/j.1467-6486.2010.00976.x"
"Using the upper echelons perspective together with corporate governance and strategic renewal literature, this paper investigates how top managers' corporate governance orientation influences a firm's strategic renewal trajectories over time. Through both a qualitative analysis (1907-2004) and a quantitative analysis (1959-2004), we investigate this under-researched question within the context of a large incumbent firm: Royal Dutch Shell plc. Our results indicate that top managers having an Anglo-Saxon corporate governance orientation are more likely to pursue exploitative and external-growth strategic renewal trajectories, while those having a Rhine corporate governance orientation are more likely to pursue exploratory and internal-growth strategic renewal trajectories. We also found a positive moderating effect of the proportion of shareholders from the Anglo-Saxon countries on exploitative and external-growth strategic renewal trajectories. Our findings indicate that top managers' corporate governance orientation can be an important antecedent of strategic renewal and of organizational ambidexterity, both of which influence corporate longevity.","Kwee, Z|Van Den Bosch, FAJ|Volberda, HW","Kwee, Zenlin|Van Den Bosch, Frans A. J.|Volberda, Henk W.",984,,,,-1,,,,,,,,,10.1111/j.1467-6486.2010.00961.x,,,1014,Thomson Reuters Web of Knowledge,,,,,0022-2380,5,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,JUL,J,2011,,,,,,,,SI,,,-1,"The Influence of Top Management Team's Corporate Governance Orientation on Strategic Renewal Trajectories: A Longitudinal Analysis of Royal Dutch Shell plc, 1907-2004",-1,WOS:000292476600003,1.0,48,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Kwee Z, 2011, V48, P984, DOI 10.1111/j.1467-6486.2010.00961.x"
"How does firm size impact on a firm's offshoring strategy? Are the underlying motives for offshoring, the particular functions considered, the locations to relocate, and the particular governance mode different for small, medium-sized and large firms? In this paper, cost, resource and entrepreneurial drivers are investigated for their relationship with firm size. Moreover, we hypothesize on the relationship between function, location and governance mode choices of offshoring and firm size. Using multi-country data of the Offshoring Research Network (ORN), we present empirical evidence on the three offshoring driver categories and function, location and governance mode choices of small, medium-sized and large firms. The results show offshoring might be used as cost, resource or entrepreneurial strategy. Cost drivers are most important for large and small firms, whereas resource drivers are especially important for medium-sized and large firms. Entrepreneurial drivers are most important for medium-sized firms, just like these firms have a relatively stronger preference for nearshoring. Small firms mostly offshore competence exploring activities, whereas large firms relocate competence exploiting activities. (C) 2011 Elsevier Ltd. All rights reserved.","Roza, M|Van den Bosch, FAJ|Volberda, HW","Roza, Marja|Van den Bosch, Frans A. J.|Volberda, Henk W.",314,,,,-1,,,,,,,,,10.1016/j.ibusrev.2011.02.002,,,323,Thomson Reuters Web of Knowledge,,,,,0969-5931,3,,,INTERNATIONAL BUSINESS REVIEW,,,,-1,,,JUN,J,2011,,,,,,,,SI,,,-1,"Offshoring strategy: Motives, functions, locations, and governance modes of small, medium-sized and large firms",-1,WOS:000291771500006,1.0,20,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Roza M, 2011, V20, P314, DOI 10.1016/j.ibusrev.2011.02.002"
"Research on strategic decision making has considered advice-seeking behaviour as an important top management team attribute that influences organizational outcomes. Yet, our understanding about how top management teams utilize advice to modify current strategies and pursue exploratory innovation is still unclear. To uncover the importance of advice seeking, we delineate between external and internal advice seeking and investigate their impact on exploratory innovation. We also argue that top management team heterogeneity moderates the impact of advice seeking on exploratory innovation. Findings indicated that both external and internal advice seeking are important determinants of a firm's exploratory innovation. In addition, we observed that top management team heterogeneity facilitates firms to act upon internal advice by combining different perspectives and developing new products and services. Interestingly, heterogeneous top management teams appeared to be less effective to leverage external advice and pursue exploratory innovation.","Alexiev, AS|Jansen, JJP|Van den Bosch, FAJ|Volberda, HW","Alexiev, Alexander S.|Jansen, Justin J. P.|Van den Bosch, Frans A. J.|Volberda, Henk W.",1343,,,,-1,,,,,,,,,10.1111/j.1467-6486.2010.00919.x,,,1364,Thomson Reuters Web of Knowledge,,,,,0022-2380,7,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,NOV,J,2010,,,,,,,,,,,-1,Top Management Team Advice Seeking and Exploratory Innovation: The Moderating Role of TMT Heterogeneity,-1,WOS:000282221800006,1.0,47,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Alexiev AS, 2010, V47, P1343, DOI 10.1111/j.1467-6486.2010.00919.x"
"Prior studies have emphasized that structural attributes are crucial to simultaneously pursuing exploration and exploitation, yet our understanding of antecedents of ambidexterity is still limited. Structural differentiation can help ambidextrous organizations to maintain multiple inconsistent and conflicting demands; however, differentiated exploratory and exploitative activities need to be mobilized, coordinated, integrated, and applied. Based on this idea, we delineate formal and informal senior team integration mechanisms (e. g., contingency rewards and social integration) and formal and informal organizational integration mechanisms (e. g., cross-functional interfaces and connectedness) and examine how they mediate the relationship between structural differentiation and ambidexterity. Overall, our findings suggest that the previously asserted direct effect of structural differentiation on ambidexterity operates through informal senior team (i.e., senior team social integration) and formal organizational (i.e., cross-functional interfaces) integration mechanisms. Through this richer explanation and empirical assessment, we contribute to a greater clarity and better understanding of how organizations may effectively pursue exploration and exploitation simultaneously to achieve ambidexterity.","Jansen, JJP|Tempelaar, MP|van den Bosch, FAJ|Volberda, HW","Jansen, Justin J. P.|Tempelaar, Michiel P.|van den Bosch, Frans A. J.|Volberda, Henk W.",797,,,,-1,,,,,,,,,10.1287/orsc.1080.0415,,,811,Thomson Reuters Web of Knowledge,,,,,1047-7039,4,,,ORGANIZATION SCIENCE,,,,-1,,,JUL-AUG,J,2009,,,,,,,,,,,-1,Structural Differentiation and Ambidexterity: The Mediating Role of Integration Mechanisms,-1,WOS:000267982000007,1.0,20,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Jansen JJP, 2009, V20, P797, DOI 10.1287/orsc.1080.0415"
"Previous research focuses on firm and business unit level ambidexterity. Therefore, conceptual and empirically validated understanding about ambidexterity at the individual level of analysis is very scarce. This paper addresses this gap in the literature by investigating managers' ambidexterity, delivering three contributions to theory and empirical research on ambidexterity:first, by proposing three related characteristics of ambidextrous managers; second, by developing a model and associated hypotheses on both the direct and interaction effects of formal structural and personal coordination mechanisms on managers' ambidexterity; and third, by testing the hypotheses based on a sample of 716 business unit level and operational level managers. Findings regarding the formal structural mechanisms indicate that a manager's decision-making authority positively relates to this manager's ambidexterity, whereas formalization of a manager's tasks has no significant relationship with this manager's ambidexterity. Regarding the personal coordination mechanisms,findings indicate that both the participation of a manager in cross-functional interfaces and the connectedness of a manager to other organization members positively relate to this manager's ambidexterity. Furthermore, results show positive interaction effects between the formal structural and personal coordination mechanisms on managers' ambidexterity. The paper's theoretical contributions and empirical results increase our understanding about managers' ambidexterity and about how different types and combinations of coordination mechanisms relate to variation in managers' ambidexterity.","Mom, TJM|van den Bosch, FAJ|Volberda, HW","Mom, Tom J. M.|van den Bosch, Frans A. J.|Volberda, Henk W.",812,,,,-1,,,,,,,,,10.1287/orsc.1090.0427,,,828,Thomson Reuters Web of Knowledge,,,,,1047-7039,4,,,ORGANIZATION SCIENCE,,,,-1,,,JUL-AUG,J,2009,,,,,,,,,,,-1,Understanding Variation in Managers' Ambidexterity: Investigating Direct and Interaction Effects of Formal Structural and Personal Coordination Mechanisms,-1,WOS:000267982000008,1.0,20,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Mom TJM, 2009, V20, P812, DOI 10.1287/orsc.1090.0427"
"Review Over the last four decades, research on the relationship between boards of directors and strategy has proliferated. Yet to date there is little theoretical and empirical agreement regarding the question of how boards of directors contribute to strategy. This review assesses the extant literature by highlighting emerging trends and identifying several avenues for future research. Using a content-analysis of 150 articles published in 23 management journals up to 2007, we describe and analyze how research on boards of directors and strategy has evolved over time. We illustrate how topics, theories, settings, and sources of data interact and influence insights about board-strategy relationships during three specific periods. Our study illustrates that research on boards of directors and strategy evolved from normative and structural approaches to behavioral and cognitive approaches. Our results encourage future studies to examine the impact of institutional and context-specific factors on the (expected) contribution of boards to strategy, and to apply alternative methods to fully capture the impact of board processes and dynamics on strategy making. The increasing interest in boards of directors' contribution to strategy echoes a movement towards more strategic involvement of boards of directors. However, best governance practices and the emphasis on board independence and control may hinder the board contribution to the strategic decision making. Our study invites investors and policy-makers to consider the requirements for an effective strategic task when they nominate board members and develop new regulations.","Pugliese, A|Bezemer, PJ|Zattoni, A|Huse, M|Van den Bosch, FAJ|Volberda, HW","Pugliese, Amedeo|Bezemer, Pieter-Jan|Zattoni, Alessandro|Huse, Morten|Van den Bosch, Frans A. J.|Volberda, Henk W.",292,,,,-1,,,,,,,,,10.1111/j.1467-8683.2009.00740.x,,,306,Thomson Reuters Web of Knowledge,,,,,0964-8410,3,,,CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW,,,,-1,,,MAY,J,2009,,,,,,,,,,,-1,Boards of Directors' Contribution to Strategy: A Literature Review and Research Agenda,-1,WOS:000266814100003,1.0,17,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Pugliese A, 2009, V17, P292, DOI 10.1111/j.1467-8683.2009.00740.x"
"Research has suggested that corporate venturing is crucial to strategic renewal and firm performance, yet scholars still debate the appropriate organizational configurations to facilitate the creation of new businesses in existing organizations. Our study investigates the effectiveness of combining structural differentiation with formal and informal organizational as well as top management team integration mechanisms in establishing an appropriate context for venturing activities. Our findings suggest that structural differentiation has a positive effect on corporate venturing. In addition. our study indicates that a shared vision has a positive effect on venturing in a structurally differentiated context. Socially integrated senior teams and cross-functional interfaces, however, are ineffective integration mechanisms for establishing linkages across differentiated units and for successfully pursuing corporate venturing. (C) 2009 Elsevier Inc. All rights reserved.","Burgers, JH|Jansen, JJP|Van den Bosch, FAJ|Volberda, HW","Burgers, J. Henri|Jansen, Justin J. P.|Van den Bosch, Frans A. J.|Volberda, Henk W.",206,,,,-1,,,,,,,,,10.1016/j.jbusvent.2009.01.006,,,220,Thomson Reuters Web of Knowledge,,,,,0883-9026,3,,,JOURNAL OF BUSINESS VENTURING,,,,-1,,,MAY,J,2009,,,,,,,,,,,-1,Structural differentiation and corporate venturing: The moderating role of formal and informal integration mechanisms,-1,WOS:000266120500002,1.0,24,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Burgers JH, 2009, V24, P206, DOI 10.1016/j.jbusvent.2009.01.006"
"Organizations capable of pursuing exploration and exploitation simultaneously have been suggested to obtain superior performance. Combining both types of activities and achieving organizational ambidexterity, however, leads to the presence of multiple and often conflicting goals, and poses considerable challenges to senior teams in ambidextrous organizations. This study explores the role of senior team attributes and leadership behaviour in reconciling conflicting interests among senior team members and achieving organizational ambidexterity. Findings indicate that a senior team shared vision and contingency rewards are associated with a firm's ability to combine high levels of exploratory and exploitative innovations. In addition, our study shows that an executive director's transformational leadership increases the effectiveness of senior team attributes in ambidextrous organizations and moderates the effectiveness of senior team social integration and contingency rewards. Hence, our study clarifies how senior executives reconcile conflicting demands and facilitate the balancing of seemingly contradictory forces in ambidextrous organizations. Implications for literatures on senior team attributes, transformational leadership and organizational ambidexterity are discussed.","Jansen, JJP|George, G|Van den Bosch, FAJ|Volberda, HW","Jansen, Justin J. P.|George, Gerard|Van den Bosch, Frans A. J.|Volberda, Henk W.",982,,,,-1,,,,,,,,,10.1111/j.1467-6486.2008.00775.x,,,1007,Thomson Reuters Web of Knowledge,,,,,0022-2380,5,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,JUL,J,2008,,,,,,,,,,,-1,Senior team attributes and organizational ambidexterity: The moderating role of transformational leadership,-1,WOS:000257566800006,1.0,45,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Jansen JJP, 2008, V45, P982, DOI 10.1111/j.1467-6486.2008.00775.x"
"Managing through projects has become important for generating new knowledge to cope with technological and market discontinuities. This paper examines how the fit between the creation of technological and market knowledge and important project management characteristics, i.e. project autonomy and completion criteria, influences the success of new business development (NBD) projects. In-depth longitudinal case research on NBD projects commercialised from 1993 to 2003 in the consumer electronics industry highlights that project management characteristics focusing only on the creation of technological knowledge contributed to the failure of those NBD projects that required new market knowledge as well. The findings indicate that senior management support and engaging in an alliance with partners possessing complementary market knowledge can offset this misalignment of the organisation of NBD projects. (C) 2007 Elsevier Ltd. All rights reserved.","Burgers, JH|Van Den Bosch, FAJ|Volberda, HW","Burgers, J. Henri|Van Den Bosch, Frans A. J.|Volberda, Henk W.",55,,,,-1,,,,,,,,,10.1016/j.lrp.2007.10.003,,,73,Thomson Reuters Web of Knowledge,,,,,0024-6301,1,,,LONG RANGE PLANNING,,,,-1,,,FEB,J,2008,,,,,,,,,,,-1,Why new business development projects fail: Coping with the differences of technological versus market knowledge,-1,WOS:000254735400005,1.0,41,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Burgers JH, 2008, V41, P55, DOI 10.1016/j.lrp.2007.10.003"
"Many product innovation studies have described key determinants that should lead to successful incremental product innovation. Despite numerous studies suggesting how incremental product innovation should be successfully undertaken, many firms still struggle with this type of innovation. In this paper, we use an institutional perspective to investigate why established firms in the financial services industry struggle with their complex incremental product innovation efforts. We argue that although the impact of micro institutional forces is often overlooked in innovation studies, these forces matter for innovation success. Our study complements the existing innovation literature and provides an additional explanation why incremental product innovation is highly complex and suffers from several liabilities in established firms. Using qualitative data from the Dutch financial services sector collected over the period 1997-2002, the paper illustrates how micro institutional forces at the business unit level affect complex incremental product innovation and how the interaction of these forces delivers their impact.","Vermeulen, PAM|Van den Bosch, FAJ|Volberda, HW","Vermeulen, Patrick A. M.|Van den Bosch, Frans A. J.|Volberda, Henk W.",1523,,,,-1,,,,,,,,,10.1177/0170840607068082,,,1546,Thomson Reuters Web of Knowledge,,,,,0170-8406,10,,,ORGANIZATION STUDIES,,,,-1,,,OCT,J,2007,,,,,,,,,,,-1,Complex incremental product innovation in established service firms: A micro institutional perspective,-1,WOS:000251214900004,1.0,28,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Vermeulen PAM, 2007, V28, P1523, DOI 10.1177/0170840607068082"
"This paper develops and tests hypotheses on the influence of managers' knowledge inflows on managers' exploration and exploitation activities. Based on a survey among managers of a leading electronics firm, the findings indicate, as expected, that top-down knowledge inflows of managers positively relate to the extent to which these managers conduct exploitation activities, while they do not relate to managers' exploration activities. Furthermore, as expected, bottom-up and horizontal knowledge inflows of managers positively relate to these managers' exploration activities, while they do not relate to managers' exploitation activities. We contribute to current literature on exploration and exploitation by focusing on the manager level of analysis, and by adding the importance of knowledge flow configurations to studies which investigate the impact of organizational factors on exploration and exploitation.","Mom, TJM|Van den Bosch, FAJ|Volberda, HW","Mom, Tom J. M.|Van den Bosch, Frans A. J.|Volberda, Henk W.",910,,,,-1,,"DEC 14-15, 2005",,,"Copenhagen, DENMARK",,Copenhagen Conference on Strategic Management,,10.1111/j.1467-6486.2007.00697.x,,,931,Thomson Reuters Web of Knowledge,,,,,0022-2380,6,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,SEP,J,2007,,,,,,,,,,,-1,"Investigating managers' exploration and exploitation activities: The influence of top-down, bottom-up, and horizontal knowledge inflows*",-1,WOS:000249180100004,1.0,44,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Mom TJM, 2007, V44, P910, DOI 10.1111/j.1467-6486.2007.00697.x"
"In this article, the authors discuss the evolution of trust, distrust, and formal coordination and control in interorganizational relationships. They suggest that the degrees to which managers trust and distrust their partners during initial stages of cooperation leave strong imprints on the development of these relationships in later stages of collaboration. This derives from the impact of trust and distrust on (a) formal coordination and control, (b) interorganizational performance, and (c) the interpretations that managers attribute to the behavior of their partners. Collectively, the authors' arguments give rise to a conceptual framework that indicates that there is a high propensity for interorganizational relationships to develop along vicious or virtuous cycles. By integrating and reconciling previous work on the trust-control nexus and by emphasizing the dynamics associated with it, the article contributes to a more comprehensive and refined understanding of the evolution of interorganizational cooperation.","Vlaar, PWL|Van den Bosch, FAJ|Volberda, HW","Vlaar, Paul W. L.|Van den Bosch, Frans A. J.|Volberda, Henk W.",407,,,,-1,,,,,,,,,10.1177/1059601106294215,,,429,Thomson Reuters Web of Knowledge,,,,,1059-6011,4,,,GROUP & ORGANIZATION MANAGEMENT,,,,-1,,,AUG,J,2007,,,,,,,,,,,-1,"On the evolution of trust, distrust, and formal coordination and control in interorganizational relationships - Toward an integrative framework",-1,WOS:000250301600003,1.0,32,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Vlaar PWL, 2007, V32, P407, DOI 10.1177/1059601106294215"
