Abstract,Authors,Authors (Full Names),Beginning Page,Book Series Subtitle,Book Series Title,Cited Patent,Cited Reference Count,Cited References,Cited Year,City of Publisher,Conference Host,Conference Location,Conference Sponsors,Conference Title,Document Type,DOI,E-mail Addresses,Editors,Ending Page,File Type,Funding Agency and Grant Number,Funding Text,ISBN,ISI Document Delivery Number,ISSN,Issue,Journal Name (Abbreviated ISO),Journal Name (Abbreviated),Journal Title (Full),Language,New Article Number,New ISI Keywords,Number of Pages,Original Keywords,Part Number,Publication Date,Publication Type,Publication Year,Publisher,Publisher Address,Publisher Web Address,Reprint Address,Research Addresses,Research Field,Researcher ID,Special Issue,Subject Category,Supplement,Times Cited,Title,Total Times Cited,Unique ID,Version Number,Volume,File Name,Cite Me As
"Our study builds on extant theory on embeddedness by concentrating on the process of preservation and dissolution of the target firm's embedded ties in acquisitions. We identify four critical areas (communication, idiosyncratic investments, interpersonal relations and personnel turnover) where managerial decisions taken during the acquisition process affect the components of the target firm's embedded ties-trust, joint problem-solving, conflict resolution and exchange of fine-grained information. The preservation or dissolution of an embedded tie depends ultimately on two specific tie contingencies, the balance of power between the target firm and the embedded relation and interpretive processes at the interface between the two. Our findings have implications for the study of the dissolution of market ties by pointing to different roles played by social and institutional forces, power asymmetries and competition in the dynamics of embedded ties. Finally, we encourage theory development in acquisition studies by positing the importance of interpretive processes and, more broadly, relational elements that span the boundaries of the parent-target dyad.","Spedale, S|Van Den Bosch, FAJ|Volberda, HW","Spedale, Simona|Van Den Bosch, Frans A. J.|Volberda, Henk W.",1169,,,,-1,,,,,,,,,10.1177/0170840607075672,,,1196,Thomson Reuters Web of Knowledge,,,,,0170-8406,8,,,ORGANIZATION STUDIES,,,,-1,,,AUG,J,2007,,,,,,,,,,,-1,Preservation and dissolution of the target firm's embedded ties in acquisitions,-1,WOS:000248801000002,1.0,28,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Spedale S, 2007, V28, P1169, DOI 10.1177/0170840607075672"
"The mainstream literature on contracts, rules and procedures presumes that formalization is directed at coordination and control, and that its influence on performance is contingent upon firm, transaction and contextual characteristics. In response to recent calls for inquiries into dialectics in interorganizational relationships, and in an effort to provide managerial choice with a more prominent position in research on formalization, a complementary perspective is here being developed. We propose a framework in which formalization is presented as a duality, involving trade-offs between its functions and dysfunctions, and eventuating in dialectic tensions with which managers have to cope. In line with this, we argue that researchers should not only be preoccupied with assessing the 'rightness' of governance solutions, but also with the trade-offs and tensions associated with them. Our framework is illustrated by a case study of an alliance between a major European financial services firm and one of the world's leading retailers. The alliance managers in this particular relationship attempted to reduce or capitalize on the tensions associated with formalization by: (1) adopting a semi-structure, in which outcomes were formalized, but behaviour was not; (2) justifying formalization through referring to factors that were beyond their control, and; (3) alternating their emphasis on different requirements by each of the partner firms. The article shows that a dialectic perspective on formalization in interorganizational relationships offers a promising complement to the mainstream literature.","Vlaar, PWL|Van den Bosch, FAJ|Volberda, HW","Vlaar, Paul W. L.|Van den Bosch, Frans A. J.|Volberda, Henk W.",437,,,,-1,,,,,,,,,10.1177/0170840607078003,,,466,Thomson Reuters Web of Knowledge,,,,,0170-8406,4,,,ORGANIZATION STUDIES,,,,-1,,,APR,J,2007,,,,,,,,,,,-1,"Towards a dialectic perspective on formalization in interorganizational relationships: How alliance managers capitalize on the duality inherent in contracts, rules and procedures",-1,WOS:000246555000001,1.0,28,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Vlaar PWL, 2007, V28, P437, DOI 10.1177/0170840607078003"
"Research on exploration and exploitation is burgeoning, yet our understanding of the antecedents and consequences of both activities remains rather unclear. We advance the growing body of literature by focusing on the apparent differences of exploration and exploitation and examining implications for using formal (i.e., centralization and formalization) and informal (i.e., connectedness) coordination mechanisms. This study further examines how environmental aspects (i.e., dynamism and competitiveness) moderate the effectiveness of exploratory and exploitative innovation. Results indicate that centralization negatively affects exploratory innovation, whereas formalization positively influences exploitative innovation. Interestingly, connectedness within units appears to be an important antecedent of both exploratory and exploitative innovation. Furthermore, our findings reveal that pursuing exploratory innovation is more effective in dynamic environments, whereas pursuing exploitative innovation is more beneficial to a unit's financial performance in more competitive environments. Through this richer explanation and empirical assessment, we contribute to a greater clarity and better understanding of how ambidextrous organizations coordinate the development of exploratory and exploitative innovation in organizational units and successfully respond to multiple environmental conditions.","Jansen, JJP|Van den Bosch, FAJ|Volberda, HW","Jansen, Justin J. P.|Van den Bosch, Frans A. J.|Volberda, Henk W.",1661,,,,-1,,,,,,,,,10.1287/mnsc.1060.0576,,,1674,Thomson Reuters Web of Knowledge,,,,,0025-1909,11,,,MANAGEMENT SCIENCE,,,,-1,,,NOV,J,2006,,,,,,,,,,,-1,"Exploratory innovation, exploitative innovation, and performance: Effects of organizational antecedents and environmental moderators",-1,WOS:000242049100002,1.0,52,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Jansen JJP, 2006, V52, P1661, DOI 10.1287/mnsc.1060.0576"
"Research into the management of interorganizational relationships has hitherto primarily focused on problems of coordination, control, and to a lesser extent, legitimacy. In this article, we assert that partners cooperating in such relationships are also confronted with 'problems of understanding'. Such problems arise from differences between partners in terms of culture, experience, structure and industry, and from the uncertainty and ambiguity that participants in interorganizational relationships experience in early stages of collaboration. Building on Karl Weick's theory of sensemaking, we advance that participants in interorganizational relationships use formalization as a means to make sense of their partners, the interorganizational relationships in which they are engaged and the contexts in which these are embedded so as to diminish problems of understanding. We offer a systematic overview of the mechanisms through which formalization facilitates sensemaking, including: (1) focusing participants' attention; (2) provoking articulation, deliberation and reflection; (3) instigating and maintaining interaction; and (4) reducing judgement errors and individual biases, and diminishing the incompleteness and inconsistency of cognitive representations. In this way, the article contributes to a better understanding of the relationships between formalization and sensemaking in collaborative relationships, and it carries Karl Weick's thinking on the relationship between sensemaking and organizing forward in the context of interorganizational management.","Vlaar, PWL|Van den Bosch, FAJ|Volberda, HW","Vlaar, Paul W. L.|Van den Bosch, Frans A. J.|Volberda, Henk W.",1617,,,,-1,,,,,,,,,10.1177/0170840606068338,,,1638,Thomson Reuters Web of Knowledge,,,,,0170-8406,11,,,ORGANIZATION STUDIES,,,,-1,,,NOV,J,2006,,,,,,,,,,,-1,Coping with problems of understanding in interorganizational relationships: Using formalization as a means to make sense,-1,WOS:000242534700004,1.0,27,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Vlaar PWL, 2006, V27, P1617, DOI 10.1177/0170840606068338"
"How do incumbent firms and environments co-evolve and how are firm-level adaptation and selection at industry level interrelated? Can and do large established organizations renew themselves to adapt to their environment? Three single-lens theories, relating to environmental selection, institutional theory, managerial intentionality, and a co-evolutionary perspective are used to investigate strategic renewal of incumbent firms. We derive propositions and distinguish between three dimensions of strategic renewal and develop metrics to investigate our propositions in a multi-level, multi-country, longitudinal study of the European financial services industry. Our results provide the following insights. From an environmental selection perspective, we found incumbents have a preference for exploitation renewal actions. Country institutional environments appear to explain to what extent incumbents prefer internal and/or external renewal actions. Managerial intentionality seems to explain outlier behaviour and firm-specific frequency and timing of renewal actions. From a co-evolutionary perspective, interaction effects explain deviations from predictions derived from the single-lens theories applied in this paper.","Flier, B|Van Den Bosch, FAJ|Volberda, HW","Flier, B|Van Den Bosch, FAJ|Volberda, HW",2163,,,,-1,,,,,,,,,10.1046/j.1467-6486.2003.00416.x,,,2187,Thomson Reuters Web of Knowledge,,,,,0022-2380,8,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,DEC,J,2003,,,,,,,,,,,-1,"Co-evolution in strategic renewal behaviour of British, Dutch and French financial incumbents: Interaction of environmental selection, institutional effects and managerial intentionality",-1,WOS:000186896000012,1.0,40,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Flier B, 2003, V40, P2163, DOI 10.1046/j.1467-6486.2003.00416.x"
"Roland Calori received his Ph.D. from the University of Aix en Provence in 1983 and joined EM Lyon later that same year, where he soon became department head. Later, as the director of research he helped transform that school into one of France's top schools of commerce. Roland co-authored 5 books and was involved in the writing of over 50 journal articles. He organized the 2001 EGOS colloquium in Lyon and was preparing to assume the editor-in-chief responsibilities of Organization Studies in 2003. Roland was also known for his active interest in companies and for the help he gave to executives in consulting and training sessions. Roland was also a tremendous supporter of LRP. (C) 2003 Elsevier Science Ltd. All rights reserved.","Baden-Fuller, C|van den Bosch, F|Lubatkin, M|Johnson, G|Melin, L|Very, P|Atamer, T","Baden-Fuller, C|van den Bosch, F|Lubatkin, M|Johnson, G|Melin, L|Very, P|Atamer, T",305,,,,-1,,,,,,,,,10.1016/S0024-6301(03)00036-0,,,310,Thomson Reuters Web of Knowledge,,,,,0024-6301,3,,,LONG RANGE PLANNING,,,,-1,,,JUN,J,2003,,,,,,,,,,,-1,Roland Calori: A special tribute,-1,WOS:000183464200006,1.0,36,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Baden-Fuller C, 2003, V36, P305, DOI 10.1016/S0024-6301(03)00036-0"
"How do large multi-unit firms in a deconstructing world reconcile the conflicting forces of profits for today and flexibility to adapt for tomorrow? Profits for today requires order, control, and stability: adaptation for tomorrow requires flexibility and creativity in the value-added system. Large firms in many industries are confronted with this challenge of exploration and exploitation. in the European financial services industries these conflicting tendencies are increasingly obvious. Existing large financial players seem well placed to exploit the present but ill suited to adapt to the future. Why is this so, and what can be done about it! We consider the mechanisms of selection, adaptation and co-evolution that take place between levels within the firm and between the firm and its environment, and from this identify four ideal kinds of strategic renewal journeys that organisations can adopt as a way of coping with increasing environmental pressures. We label these journeys: emergent, directed, facilitated, and transformational. We show how these ideal types represent different options for top, middle and front-line managers, and we identify how each type differs in its capacity to cope with the changing environment. We illustrate our renewal journeys with examples from Dutch (ING and Rabobank) and British financials (Barclays, Lloyds and Prudential) and other organisations such as GE, IBM, Inter, Novotel and Philips. We suggest that for mobilising renewal in well-established financial institutions-once protected but now exposed to the winds of change-managers have to recognise that many of the current journeys are unsuitable for the future. (C) 2001 Elsevier Science Ltd. All rights reserved.","Volberda, HW|Baden-Fuller, C|van den Bosch, FAJ","Volberda, HW|Baden-Fuller, C|van den Bosch, FAJ",159,,,,-1,,,,,,,,,10.1016/S0024-6301(01)00032-2,,,178,Thomson Reuters Web of Knowledge,,,,,0024-6301,2,,,LONG RANGE PLANNING,,,,-1,,,APR,J,2001,,,,,,,,,,,-1,Mastering strategic renewal - Mobilising renewal journeys in multi-unit firms,-1,WOS:000169318500004,1.0,34,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Volberda HW, 2001, V34, P159, DOI 10.1016/S0024-6301(01)00032-2"
"The European financial services sector is confronted with major forces that have changed its competitive dynamics and the strategic context. Firstly, we investigate the pace of the diffusion of two forces for strategic renewal (technological innovations and regulatory changes); secondly, we assess similarities in the pace of diffusion across countries; and thirdly, we assess the impact of these developments on the European financial landscape, focusing on five EU countries from 1990 to 1999. Preliminary findings suggest that country-specific patterns of diffusion have decreased substantially, indicating the emergence of industry-generic patterns of diffusion, while the speed of diffusion is increasing within the sector. This will give rise to a hyper-competitive landscape in the beginning of this century. Understanding the emergence of such landscapes creates important managerial challenges for the strategic renewal journeys of both incumbent firms and new entrants, in the financial services sector and in sectors confronted with similar developments. (C) 2001 Elsevier Science Ltd. All rights reserved.","Flier, B|van den Bosch, FAJ|Volberda, HW|Carnevale, CA|Tomkin, N|Melin, L|Quelin, BV|Kriger, MP","Flier, B|van den Bosch, FAJ|Volberda, HW|Carnevale, CA|Tomkin, N|Melin, L|Quelin, BV|Kriger, MP",179,,,,-1,,,,,,,,,10.1016/S0024-6301(01)00029-2,,,207,Thomson Reuters Web of Knowledge,,,,,0024-6301,2,,,LONG RANGE PLANNING,,,,-1,,,APR,J,2001,,,,,,,,,,,-1,The changing landscape of the European financial services sector,-1,WOS:000169318500005,1.0,34,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Flier B, 2001, V34, P179, DOI 10.1016/S0024-6301(01)00029-2"
"How do large firms conduct their strategic renewal journeys in an increasingly turbulent environment? Are there generic industry patterns, or are these renewal journeys country- or firm-specific! To answer these questions, we examine the relative incidence of external versus internal and explorative versus exploitative renewal actions, and their speed, in leading Dutch and UK financial service companies using longitudinal data. The context, content and process dimensions of strategic renewal are distinguished, and research questions about these attributes are formulated and investigated using new metrics. Findings show that while exploration/exploitation ratios are fairly similar for firms across the entire industry, systematic differences are evident between the external/internal renewal ratios of Dutch and UK firms, and that speed of renewal is largely determined at the firm level. Thus we find that industry-, country- and firm-specific factors all influence journeys of strategic renewal in distinctive and complementary ways. (C) 2001 Elsevier Science Ltd. All rights reserved.","Volberda, HW|van den Bosch, FAJ|Flier, B|Gedajlovic, ER","Volberda, HW|van den Bosch, FAJ|Flier, B|Gedajlovic, ER",209,,,,-1,,,,,,,,,10.1016/S0024-6301(01)00031-0,,,229,Thomson Reuters Web of Knowledge,,,,,0024-6301,2,,,LONG RANGE PLANNING,,,,-1,,,APR,J,2001,,,,,,,,,,,-1,Following the herd or not? Patterns of renewal in the Netherlands and the UK,-1,WOS:000169318500006,1.0,34,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Volberda HW, 2001, V34, P209, DOI 10.1016/S0024-6301(01)00031-0"
"The emergence of electronic commerce raises important questions about the building and leveraging of legitimacy for both practitioners and scholars of strategy. New entrants' click-and-mortar or click-and-click business models are challenging the legitimacy of large and mature brick-and-mortar incumbents. The implications of this challenge for the financial services industry-as for many other industries-are only starting to become clear. This article contributes to these initial understandings by developing a conceptual framework that considers which e-strategies 'bricks' (incumbent organisations such as ABN AMRO bank and Prudential Banking) and 'clicks' (new entrants such as KPN and First-e) adopt to improve their competitiveness. Four relevant organisational types in the emerging online financial services industry are identified, and ties to legitimacy-providing organisations are assessed for their potential both as buffers against environmental turbulence and bridges towards changing stakeholder perspectives. (C) 2001 Elsevier Science Ltd. All rights reserved.","Hensmans, M|van den Bosch, FAJ|Volberda, HW","Hensmans, M|van den Bosch, FAJ|Volberda, HW",231,,,,-1,,,,,,,,,10.1016/S0024-6301(01)00030-9,,,247,Thomson Reuters Web of Knowledge,,,,,0024-6301,2,,,LONG RANGE PLANNING,,,,-1,,,APR,J,2001,,,,,,,,,,,-1,Clicks vs. bricks in the emerging online financial services industry,-1,WOS:000169318500007,1.0,34,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Hensmans M, 2001, V34, P231, DOI 10.1016/S0024-6301(01)00030-9"
"This paper proposes that rival firms not only search for new capabilities within their organization, but also for those that rest in their competitive environment. An integrated analysis of these search processes at both firm and industry levels of analysis shows how their interaction makes industries and firms co-evolve over time. To contribute to an enhanced understanding of the concept of co-evolution, a dynamic and integrative framework crossing meso and micro levels of analysis is constructed. This framework is applied to a longitudinal study of the music industry with a time-span of 120 years. The first part, a historical study, covers the period 1877-1990. The second part, a multiple-case study, covers the period 1990-1997. We conclude that search behaviour drives co-evolution through competitive dynamics among new entrants and incumbent firms and manifests itself in the simultaneous emergence of new business models and new organizational forms.","Huygens, M|Baden-Fuller, C|Van Den Bosch, FAJ|Volberda, HW","Huygens, M|Baden-Fuller, C|Van Den Bosch, FAJ|Volberda, HW",971,,,,-1,,,,,,,,,10.1177/0170840601226004,,,1011,Thomson Reuters Web of Knowledge,,,,,0170-8406,6,,,ORGANIZATION STUDIES,,,,-1,,,,J,2001,,,,,,,,,,,-1,"Co-evolution of firm capabilities and industry competition: Investigating the music industry, 1877-1997",-1,WOS:000174508900004,1.0,22,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Huygens M, 2001, V22, P971, DOI 10.1177/0170840601226004"
"This paper advances the understanding of absorptive capacity for assimilating new knowledge as a mediating variable of organization adaptation. Many scholars suggest a firm's absorptive capacity plays a key role in the process of coevolution (Lewin et al., this issue). So far, most publications, in following Cohen and Levinthal (1990), have considered the level of prior related knowledge as the determinant of absorptive capacity. We suggest, however, that two specific organizational determinants of absorptive capacity should also be considered: organization forms and combinative capabilities. We will show how these organizational determinants influence the level of absorptive capacity, ceteris paribus the level of prior related knowledge. Subsequently, we will develop st framework in which absorptive capacity is related to both micro- and macro-coevolutionary effects. This framework offers an explanation of how knowledge environments coevolve with the emergence of organization forms and combinative capabilities that are suitable for absorbing knowledge. We will illustrate the framework by discussing two longitudinal case studies of traditional publishing firms moving into the turbulent knowledge environment of an emerging multimedia industrial complex.","Van den Bosch, FAJ|Volberda, HW|de Boer, M","Van den Bosch, FAJ|Volberda, HW|de Boer, M",551,,,,-1,,"JUL 06-08, 1998",,"ERASMUS UNIV ROTTERDAM, ROTTERDAM SCH MANAGEMENT","ROTTERDAM, NETHERLANDS",,NOFIA Symposium,,10.1287/orsc.10.5.551,,,568,Thomson Reuters Web of Knowledge,,,,,1047-7039,5,,,ORGANIZATION SCIENCE,,,,-1,,,SEP-OCT,J,1999,,,,,,,,,,,-1,Coevolution of firm absorptive capacity and knowledge environment: Organizational forms and combinative capabilities,-1,WOS:000084481900003,1.0,10,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Van den Bosch FAJ, 1999, V10, P551, DOI 10.1287/orsc.10.5.551"
"Many scholars have described organization form as a management tool in the alignment of organization and environment. As the environment of many companies becomes more chaotic, the exploration of organization forms characterized by flexibility and adaptability has been intensifying. When reviewing existing literature on new organization forms, several gaps become apparent. These gaps can be traced back to the artificial separation between the macrolevel and the firm level of analysis and the prevalence of a static notion of form. To contribute to a more encompassing theory of new organization forms, a coevolutionary perspective is suggested. In this perspective, contextual variation of macrolevel management logics is proposed as a key mediator in the coevolution of organization and environment. At the firm level, the contextual variation of management logics is reflected in shared managerial schemas underlying strategic design actions. The resulting coevolutionary model shows how contextual applications of management logics may be a source of variation in new organization forms. On the basis of a literature review, three management logics, representing ideal types, are described: classical management logic, modem management logic, and postindustrial management logic. These logics are related to three levers of design actions which reflect fundamentally different interventions in form. Linking management logics to design levers results in a set of propositions to be tested in future empirical research.","Dijksterhuis, MS|Van den Bosch, FAJ|Volberda, HW","Dijksterhuis, MS|Van den Bosch, FAJ|Volberda, HW",569,,,,-1,,,,,,,,,10.1287/orsc.10.5.569,,,582,Thomson Reuters Web of Knowledge,,,,,1047-7039,5,,,ORGANIZATION SCIENCE,,,,-1,,,SEP-OCT,J,1999,,,,,,,,,,,-1,Where do new organizational forms come from? Management logics as a source of coevolution,-1,WOS:000084481900004,1.0,10,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Dijksterhuis MS, 1999, V10, P569, DOI 10.1287/orsc.10.5.569"
"Due to technological convergence, complexes of interrelated industries are emerging. This paper presents a conceptual framework of the role different organizational forms and combinative capabilities play in the management of organizational knowledge integration in this context. The focus is on firms previously operating in one of the relatively stable constituting industries. We argue that a firm's organizational form has to be matched with appropriate combinative capabilities in order to integrate component knowledge into architectural knowledge that consequently serves as a platform for generating new product-market combinations. The framework is empirically illustrated using the example of two Dutch publishing firms moving into the multimedia complex, which is currently emerging around information and communication technologies. The empirical analysis shows that the framework offers strong potential for improving the understanding of the complex process of organizational knowledge integration, as the prerequisite for developing new business in an emerging industrial complex.","de Boer, M|Van den Bosch, FAJ|Volberda, HW","de Boer, M|Van den Bosch, FAJ|Volberda, HW",379,,,,-1,,,,,,,,,10.1111/1467-6486.00141,,,398,Thomson Reuters Web of Knowledge,,,,,0022-2380,3,,,JOURNAL OF MANAGEMENT STUDIES,,,,-1,,,MAY,J,1999,,,,,,,,,,,-1,Managing organizational knowledge integration in the emerging multimedia complex,-1,WOS:000081809700005,1.0,36,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"de Boer M, 1999, V36, P379, DOI 10.1111/1467-6486.00141"
"The purpose of this study is to contribute to the development of an integrated managerial framework for identifying, managing and organising responses to strategic issues in multinational enterprises. To this end, we distinguish three key elements of strategic issues, three different forms of organisational involvement, and two ways of allocating managerial responsibilities. The framework is Illustrated with the results of empirical research within four European-based multinational enterprises. (C) 1999 Elsevier Science Ltd. Ail rights reserved.","Oomens, MJH|van den Bosch, FAJ","Oomens, MJH|van den Bosch, FAJ",49,,,,-1,,,,,,,,,10.1016/S0024-6301(98)00124-1,,,57,Thomson Reuters Web of Knowledge,,,,,0024-6301,1,,,LONG RANGE PLANNING,,,,-1,,,FEB,J,1999,,,,,,,,,,,-1,Strategic issue management in major European-based companies,-1,WOS:000080039900005,1.0,32,C:\Users\C. Levallois\Documents\NetBeansProjects\BiblioPortrait\savedrecs.txt,"Oomens MJH, 1999, V32, P49, DOI 10.1016/S0024-6301(98)00124-1"
